target	source	value
GCoM	Chokhatauri 	1
GCoM	Dedoplistskaro	1
GCoM	Gurjaani	1
GCoM	Kvareli	1
GCoM	Lanchkhuti	1
GCoM	Ozurgeti	1
GCoM	Poti	1
GCoM	Zugdidi	1
GCoM	Karaganda	1
GCoM	Taraz	1
GCoM	Temirtau	1
GCoM	Zhezkazgan	1
GCoM	Aksu	1
GCoM	Astana	1
GCoM	Lisakovsk	1
GCoM	Satpayev	1
GCoM	Petropavlovsk	1
GCoM	Kerben	1
GCoM	Shopokov	1
GCoM	Orlovka	1
GCoM	Osh	1
GCoM	Talas	1
GCoM	Somoniyon	1
GCoM	Canberra	1
GCoM	Hobart	1
GCoM	Wollongong	1
GCoM	Sydney	1
GCoM	Penrith	1
GCoM	Joondalup	1
GCoM	Mornington Peninsula Shire	1
GCoM	Glen Eira	1
GCoM	Moreland	1
GCoM	Melbourne	1
GCoM	Manningham	1
GCoM	Melville	1
GCoM	Tweed Shire	1
GCoM	Port Phillip	1
GCoM	Yarra	1
GCoM	Hobsons Bay	1
GCoM	Maribyrnong	1
GCoM	Mandurah	1
GCoM	Byron Shire	1
GCoM	Adelaide	1
GCoM	Perth	1
GCoM	Melton	1
GCoM	Darebin	1
GCoM	Wyndham	1
GCoM	Newcastle	1
GCoM	Nadi	1
GCoM	Auckland	1
GCoM	Wellington	1
GCoM	Dunedin	1
GCoM	Christchurch	1
GCoM	Rotorua	1
GCoM	New Plymouth	1
GCoM	Honiara	1
GCoM	Port Vila	1
GCoM	Mount Barker	1
GCoM	Jakarta	1
GCoM	Surabaya	1
GCoM	Bandung	1
GCoM	Padang	1
GCoM	Bogor	1
GCoM	Malang	1
GCoM	Banjarmasin	1
GCoM	Jambi	1
GCoM	Balikpapan	1
GCoM	Mataram	1
GCoM	Kupang	1
GCoM	Sukabumi	1
GCoM	Kendari	1
GCoM	Banda Aceh	1
GCoM	Probolinggo	1
GCoM	Tarakan	1
GCoM	Tanjungpinang	1
GCoM	Bontang	1
GCoM	Seberang Perai	1
GCoM	Iskandar Region	1
GCoM	Putrajaya	1
GCoM	Tawau	1
GCoM	Kuala Lumpur	1
GCoM	Johor Bahru	1
GCoM	Quezon City	1
GCoM	Cebu	1
GCoM	Pasig City	1
GCoM	Cagayan De Oro	1
GCoM	Paranaque	1
GCoM	Makati City	1
GCoM	Muntinlupa City	1
GCoM	Tacloban	1
GCoM	Puerto Princesa	1
GCoM	Talisay	1
GCoM	Legazpi	1
GCoM	Calbayog	1
GCoM	Naga	1
GCoM	Tuguegarao	1
GCoM	San Carlos	1
GCoM	Cauayan	1
GCoM	Dipolog	1
GCoM	Baybay	1
GCoM	Tabuk	1
GCoM	Catbalogan	1
GCoM	Science of Munoz	1
GCoM	Borongan	1
GCoM	Angeles	1
GCoM	Hatyai	1
GCoM	Phuket	1
GCoM	Chiang Rai	1
GCoM	Nakhon Lampang	1
GCoM	Sisaket	1
GCoM	Thung song	1
GCoM	Nongsamrong	1
GCoM	Phichit	1
GCoM	Yasothon	1
GCoM	Phanatnikom	1
GCoM	Khok kruat	1
GCoM	Phanomsarakham	1
GCoM	Hatsiao	1
GCoM	Mapammarit	1
GCoM	Can Tho City	1
GCoM	San Jose Del Monte	1
GCoM	Marikina City	1
GCoM	Baguio City	1
GCoM	Tarlac	1
GCoM	Batangas	1
GCoM	Santa Rosa	1
GCoM	Khonkaen City	1
GCoM	Hong Kong	1
GCoM	Tokyo	1
GCoM	Yokohama	1
GCoM	Hiroshima	1
GCoM	Kitakyushu	1
GCoM	Toyama	1
GCoM	Otsu	1
GCoM	Niseko	1
GCoM	Goto	1
GCoM	Toyonaka	1
GCoM	Nanmoku village	1
GCoM	Okazaki	1
GCoM	Toyota	1
