name	faculty
Laoting	14
Lianyungang	14
Qinzhou	14
Quanzhou	14
Xiamen	14
Badung Regency	14
Bali Province	14
Buleleng Regency	14
Denpasar	14
Gianyar	14
Jakarta	14
Jembrana Regency	14
Sepang	14
Pingtan	14
Sanya	14
Kampot	14
Tangerang	14
Karangasem Regency	14
Klungklung Regency	14
Sukabumi	14
Tabanan	14
Shima	14
Northern Selangor	14
Port Klang	14
Bataan	14
Batangas	14
Cavite	14
Guimaras	14
Changwon	14
Shigwa	14
Chonburi	14
Da Nang	14
Quang Nam	14
Thua Thien Hue	14
Beihai	14
Ansan	14
Wenzhou	14
Kep	14
Koh Kong	14
Dhaka	15
Sylhet	15
Siem Reap	15
Beijing	15
Chongqing	15
Dalian	15
Guiyang	15
Jiangyin	15
Lanzhou	15
Ningbo	15
Rongcheng	15
Shanghai	15
Shenzhen	15
Taiyuan	15
Weihai	15
Yantai	15
Zhangjiagang	15
Zhenjiang	15
Hong Kong	15
Macau	15
Lami	15
Bhopal	15
Kanpur	15
Balikpapan	15
Bekasi	15
Gianyar	15
Jakarta	15
Medan	15
Semarang	15
Sidoarjo	15
Surabaya	15
District 12	15
Tehran	15
Fukuoka	15
Hiroshima	15
Kitakyushu	15
Minamata	15
Ube	15
Yokohama	15
Cheongju	15
Daegu	15
Jeju	15
Jeonju	15
Pohang	15
Sibu	15
Khan-Uul District	15
Ulaanbaatar	15
Yangon	15
Birendranagar	15
Dhankuta	15
Dot-Silgadi	15
Hetauda	15
Kathmandu	15
Lekhnath	15
Karachi	15
Quetta	15
Bago	15
Cebu	15
Puerto Princesa	15
San Fernando	15
Colombo	15
Jayewardenepura Kotte	15
Bangkok	15
Korat	15
Nonthaburi	15
Ho Chi Minh City	15
Buenos Aires	16
Beijing	16
Jakarta	16
Osaka	16
Seoul	16
Tokyo	16
Bojonegoro	17
Seoul	17
Cotabato City	17
Tbilisi	17
Makati City	18
Xiamen	18
Bacolod	18
Chiang Rai	18
Choam Chao Sangkat	18
Da Nang	18
Kampot	18
Kupang	18
Misamis Oriental	18
One Pangasinan Alliance OPAL	18
Pakkret	18
Pangkalpinang	18
Songkhla	18
Tarakan	18
Tra Vinh City	18
Vinh City	18
Wakatobi	18
Yala	18
